2026-08-04 11:58:50,701 REQ-120D29 | /jig_unloading/api/validate_tray_occupancy_z1/ | DB | 33ms | 7 | OK
2026-08-04 11:58:50,701 REQ-120D29 | /jig_unloading/api/validate_tray_occupancy_z1/ | VIEW | 18ms | 7 | OK
2026-08-04 11:58:50,701 REQ-120D29 | /jig_unloading/api/validate_tray_occupancy_z1/ | MW_MODULE_ACCESS | 1302ms | 0 | SLOW
2026-08-04 11:58:50,701 REQ-120D29 | /jig_unloading/api/validate_tray_occupancy_z1/ | TEMPLATE | 0ms | 0 | OK
2026-08-04 11:58:50,701 REQ-120D29 | /jig_unloading/api/validate_tray_occupancy_z1/ | TOTAL | 1307ms | 7 | SLOW
2026-08-04 13:05:25,871 REQ-3866BA | /rowlock/status/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-08-04 13:05:25,871 REQ-3866BA | /rowlock/status/ | DB | 12ms | 3 | OK
2026-08-04 13:05:25,871 REQ-3866BA | /rowlock/status/ | VIEW | 1012ms | 3 | SLOW
2026-08-04 13:05:25,871 REQ-3866BA | /rowlock/status/ | MW_MODULE_ACCESS | 1011ms | 0 | SLOW
2026-08-04 13:05:25,871 REQ-3866BA | /rowlock/status/ | TEMPLATE | 0ms | 0 | OK
2026-08-04 13:05:25,871 REQ-3866BA | /rowlock/status/ | TOTAL | 1024ms | 3 | SLOW
2026-08-04 15:08:53,382 REQ-218D6F | /rowlock/status/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-08-04 15:08:53,382 REQ-218D6F | /rowlock/status/ | DB | 11ms | 3 | OK
2026-08-04 15:08:53,382 REQ-218D6F | /rowlock/status/ | VIEW | 1324ms | 3 | SLOW
2026-08-04 15:08:53,382 REQ-218D6F | /rowlock/status/ | MW_MODULE_ACCESS | 1330ms | 0 | SLOW
2026-08-04 15:08:53,382 REQ-218D6F | /rowlock/status/ | TEMPLATE | 0ms | 0 | OK
2026-08-04 15:08:53,382 REQ-218D6F | /rowlock/status/ | TOTAL | 1335ms | 3 | SLOW
2026-08-05 08:57:04,734 REQ-994850 | /accounts/login/ | MIDDLEWARE_AUTH | 0ms | 0 | OK
2026-08-05 08:57:04,734 REQ-994850 | /accounts/login/ | DB | 61ms | 16 | OK
